,0
4503,Trump says he will skip White House correspondents dinner
4504,"As Trump eyed Cain for Fed, Cain raised money for Trump"
4505,Coyotes run win string to six in trimming Red Wings
4506,Defensemen power Lightning to 5-1 win over Sens
4507,"Aho’s OT winner gives Carolina fifth straight victory, 4-3 over Panthers"
4508,"Penguins beat Habs, catch them in wild-card chase"
4509,Leafs repeat feat by beating visiting Sabres again
4510,Bruins stay hot with shutout of Devils
4511,Kings pull away for 6-3 win over Blackhawks
4512,Koskinen makes 30 saves as Oilers blank Blue Jackets
4513,NHL roundup: Jets pass Preds to gain division lead
4514,Sharks hold on to beat Avalanche
4515,Former Trump lawyer Cohen says assisting with more probes
4516,Trump says trade deal with China could be reached in about four weeks
4517,U.S. House committee seeks Trump tax returns from IRS
4518,Knights complete season sweep of Ducks
4519,Armia's 1st hat trick leads Canadiens over Rangers
4520,Jets slip past Predators to gain division lead
4521,Hurricanes best Blues for 4th consecutive win
4522,"Flyers set NHL mark, blast last-place Devils"
4523,Caps dump Isles to tie for first in Metro
4524,Sabres outlast Penguins on Sheary’s OT goal
4525,Boucher ousted as coach of NHL-worst Senators
4526,NHL roundup: Tavares jeered in return to face Isles
4527,Theodore leads Knights over Panthers in shootout
4528,Factbox: Big Democratic field taking shape for 2020 U.S. presidential race
4529,FBI head says agency has no desire to move its headquarters
4530,"U.S. House rebukes Trump on Saudi Arabia, backs measure to end Yemen involvement"
4531,Theodore leads Knights over Panthers in shootout
4532,Hintz's OT winner sends Stars past Kings
4533,Richardson's four goals lead Yotes over Canucks
4534,Currie's first assists lead Oilers past Senators
4535,Jackets win in OT to sweep season series vs. Flyers
4536,Isles rout Leafs as crowd jeers Tavares
4537,"Rask, red-hot Bruins halt Lightning's win streak"
4538,NHL roundup: Lightning work OT for 10th straight win
4539,Avalanche slip past Canucks in shootout
4540,"DeBrincat, Kane lift Blackhawks past Ducks"
4541,U.S. Democrats question Mar-a-Lago security after Chinese intruder
4542,Trump says not concerned about China spying at his Florida resort
4543,Wilbur Ross refuses to testify on U.S. Commerce Department's 2020 budget
4544,Flames hold off Devils to extend win streak
4545,"Johnsson, Leafs blow out Oilers"
4546,NHL roundup: Red-hot Flames streak past Isles
4547,Pacioretty's two goals key Knights' win over Stars
4548,Wild stun Jets with two late goals
4549,Coyotes upend Panthers in shootout for 4th straight win
4550,Shaw's hat trick sparks Habs' rout of Wings
4551,McCann's 2-goal effort lifts Pens past Jackets
4552,"Hurricanes strike quickly, roll past reeling Kings"
4553,Bruins roll as 3-goal flurry buries Sharks
4554,"Truckers, stores on U.S.-Mexico border struggle as Trump closure threat looms"
4555,Colorado lawmakers pass law overhauling oil and gas drilling regulations
4556,U.S. lawmakers urge sanctions over China's treatment of Muslim minority
4557,Bruins roll as 3-goal flurry buries Sharks
4558,Caps blast Sens behind four-goal second period
4559,Flyers maintain home mastery of Sabres
4560,"Blues, Binnington shut down Predators 2-0"
4561,Flames flip Isles for 6th consecutive win
4562,"NHL roundup: Lightning win 9th straight, reach 100 points"
4563,Horvat nets pair as Canucks blank Ducks
4564,League-best Lightning top Kings in shootout
4565,Leafs torch Sabres in 2nd-period barrage
4566,Predators sit atop Central after shootout win over Oilers
4567,"Kudlow says working on rescue, restructuring plan for Venezuela"
4568,"White House's Kudlow: Any border closing must balance trade, security"
4569,Newcomer Mayor Lori Lightfoot takes on Chicago establishment and 'political machine'
4570,Newcomers help Devils trim Canadiens
4571,NHL notebook: Knights acquire Stone at deadline
4572,NHL roundup: Zuccarello hurt after shining in Stars' win
4573,Coyotes down Jets for third straight win
4574,Czarnik's final-minute tally lifts Flames over Senators
4575,"Zuccarello hurt in debut, but helps Stars edge Blackhawks"
4576,Donato scores in OT as Wild beat Blues
4577,Pavelski's natural hat trick powers Sharks past Wings
4578,Kuznetsov's OT goal lifts Capitals over Rangers
4579,NHL roundup: Flyers get OT win at Stadium Series
4580,Trump says he's prepared to close Mexico border if necessary
4581,U.S. senators seek details on nuclear power cooperation with Saudi Arabia
4582,U.S. expects to resolve spat with Turkey over purchase of Russian air defenses
4583,"Lehner, Isles blank Canucks to snap skid"
4584,McDavid-less Oilers hold off Ducks
4585,Flyers rally to defeat Penguins in OT
4586,"Leafs storm back from 3-0 deficit, stomp Canadiens"
4587,Hurricanes blank Stars again
4588,"Grubauer, MacKinnon power Avs' rout of Predators"
4589,"Panthers send Quick, Kings to showers"
4590,"Rangers score early, top Devils 5-2"
4591,"Bobrovsky, Duchene lead Jackets to shutout win over Sharks"
4592,Reinhart posts hat trick as Sabres handle Capitals
4593,Trump says vote on healthcare can wait until after 2020 election
4594,"Top House Democrat cites labor, enforcement concerns on new NAFTA"
4595,Avenatti proclaims innocence in 'David versus Goliaths' court fight
4596,Binnington helps Blues snap Bruins' streak
4597,"NHL roundup: Flames down Ducks, extend hot streak"
4598,Laine's 2-goal night leads Jets past Knights
4599,Flames edge Ducks for 4th win in row
4600,Wild win back-to-games for first time in month
4601,Compher carries Avalanche over Blackhawks
4602,"Blue Jackets get Duchene, shut out Senators"
4603,NHL roundup: Stars snap Blues' winning streak
4604,Galchenyuk's OT winner sends Coyotes past Canucks
4605,"Oilers end slump, hand Isles 2nd loss in two nights"
4606,Chicago police call for state's attorney to resign in Smollett controversy
4607,U.S. lawmaker invites Mexico president to Congress after migration talks
4608,Officials puzzle over U.S. aid cuts to Central America
4609,"Oilers end slump, hand Isles 2nd loss in two nights"
4610,Jones saves 26 as Sharks blank Penguins
4611,Gallagher's first hat trick guides Habs past Flyers
4612,Lightning beat Sabres in shootout for 8th straight win
4613,Wild snap five-game skid with 4-1 win over Rangers
4614,Hurricanes’ Williams uses his face to help beat Panthers
4615,"Benn, Stars end Blues' 11-game win streak"
4616,"Preds edge Kings, grab first place in Central"
4617,Ovechkin's 43rd goal helps Caps down Leafs
4618,Schneider earns shutout as Devils blank Sens
4619,Ex-vice president Biden doesn't recall inappropriate kiss alleged by activist: spokesman
4620,Exclusive: More than 1 million acres of U.S. cropland ravaged by floods
4621,U.S. Rep. Ocasio-Cortez 'encouraged' despite Senate rejecting 'Green New Deal'
4622,"NHL roundup: Kane, Blackhawks keep rolling"
4623,Backes' shootout tally lifts Bruins to 7th straight win
4624,Seven Avs score in rout of Jets
4625,Kane scores OT winner as Blackhawks beat Wings
4626,Flames ride 3rd-period surge to win over Isles
4627,NHL notebook: Bruins reportedly acquire Coyle from Wild
4628,Capitals waive 2018 playoffs standout Smith-Pelly
4629,NHL roundup: Blues win record 11th straight
4630,Josi's two 3rd-period goals lift Predators past Stars
4631,Coyotes top McDavid-less Oilers in shootout
4632,Exclusive: Trump eager for trade deal with post-Brexit Britain - Bolton to Reuters TV
4633,Exclusive: Trump eyeing stepped-up Venezuela sanctions for foreign companies - Bolton
4634,Small Business Administration chief McMahon to join Trump 2020 campaign
4635,"Ducks beat Wild, inch closer to playoff position"
4636,Lightning continue road dominance in Philly
4637,Canadiens trip Jackets to end 4-game losing streak
4638,"3rd-period goal, Lundqvist hold up as Rangers stop Hurricanes"
4639,"Scoring spurt carries Penguins past Devils, 4-3"
4640,Panthers pull away from Sabres in third period
4641,Blues nip Leafs in OT for franchise-best 11th straight win
4642,NHL roundup: Blackhawks edge Senators 8-7
4643,"Bruins blow lead, then edge Sharks in OT"
4644,"Ovechkin's 41st, 42nd goals lift Caps past Kings"
4645,Southeast Asia should be aware of Iran's tactics to evade oil sanctions: U.S.
4646,Trump changes mind and extends Liberians' immigration protections in U.S
4647,Two California Supreme Court justices decry death penalty as 'dysfunctional'
4648,Agozzino's first goal carries Avs over Knights
4649,DeBrincat's hat trick helps Blackhawks outscore Senators
4650,Kucherov puts up 5 points as Lightning rout Jackets
4651,"Giordano, Smith help Flames dispatch Coyotes"
4652,"NHL roundup: Blues shut out Wild, win tenth straight"
4653,Barkov's hat trick drives Panthers past Canadiens
4654,"Henrique, Silfverberg score twice each as Ducks beat Caps"
4655,Wood energizes Devils in win over Sabres
4656,Binnington posts second straight shutout as Blues trounce Wild
4657,Flyers complete weekend sweep of Red Wings
4658,U.S. lawmakers introduce bill to stop NSA's mass data collection
4659,U.S. senators introduce bill to stop transfer of F-35 fighters to Turkey
4660,U.S. Supreme Court rebuffs bid to block Trump's gun 'bump stock' ban
4661,"Letang, Malkin each score twice as Penguins hold off Rangers"
4662,NHL roundup: Allen's shutout lifts Blues to ninth straight win
4663,Bruins' offense backs Rask in win over Kings
4664,"Jones, Sharks top Canucks again"
4665,"Pacioretty, Subban get Knights a win on home ice"
4666,Panarin scores twice as Blue Jackets top Blackhawks
4667,"Mrazek shines as Hurricanes stifle Stars, 3-0"
4668,Dzingel's overtime tally lifts Senators over Jets
4669,Vasilevskiy sets Lightning shutout mark in blanking Habs
4670,Isles dump Oilers in regular-season Barclays finale
4671,"Exclusive: Fearful of fake news blitz, U.S. Census enlists help of tech giants"
4672,"Trump discusses China, 'political fairness' with Google CEO"
4673,"Trump-Russia probe is over, but prosecutor says grand jury lives on"
4674,Coyotes' Kuemper blanks Leafs for 2nd shutout of season
4675,"Blues shut out Avalanche, roll to 9th straight win"
4676,Flyers beat Red Wings in OT after blowing big lead
4677,"Flames hold off Penguins, snap 4-game skid"
4678,"NHL roundup: Devils score final 4 goals, top Wild in OT"
4679,Hischier's OT goal caps Devils' big comeback over Wild
4680,Halak records 30 saves as Bruins shut out Ducks
4681,"Niederreiter, McElhinney lift Hurricanes over Oilers"
4682,"Georgiev, Namestnikov lead Rangers past Sabres"
4683,"NHL roundup: Lightning slam Stars, win fourth straight"
4684,"U.S. lawmakers blast Trump's plan for diplomatic, foreign aid cuts"
4685,U.S. recognition of Golan Heights as Israeli will help peace process: Pompeo
4686,Trump says he can produce a better healthcare plan than Obamacare
4687,"NHL roundup: Lightning slam Stars, win fourth straight"
4688,"Canucks rally late, earn shootout win over Kings"
4689,Greiss stops 31 shots as Islanders shut out Jackets
4690,Matthews tops 100 goals as Leafs dump Knights
4691,"Caps dominate, Oshie hits milestone as Sharks' streak ends"
4692,"Avalanche whip Jets, snap losing streak"
4693,Boyle's first Predators goal produces win over Habs
4694,"Stamkos, Kucherov lead Lightning past Stars"
4695,Howard celebrates milestone as Wings stop Senators
4696,Panthers edge Flames in shootout behind Reimer
4697,U.S. Supreme Court divided on partisan electoral maps
4698,"Despite report findings, almost half of Americans think Trump colluded with Russia: Reuters/Ipsos poll"
4699,Trump administration calls for putting Americans back on moon by 2024
4700,Kane sets Chicago's assist-streak mark in win over Devils
4701,Ducks' Boyle shuts out Canucks in first career start
4702,Penguins turn aside slumping Oilers
4703,NHL roundup: Lightning hammer sliding Flames
4704,4 goals in 3rd period lift Hurricanes over Senators
4705,"Kucherov, Lightning light up Flames"
4706,Coyotes extend Golden Knights' home slump
4707,"Copp breaks tie, leads Jets past Rangers"
4708,Maple Leafs hammer struggling Avalanche
4709,Van Riemsdyk's two goals guide Flyers past Wild
4710,Lawmaker still seeks Trump tax returns regardless of Mueller report
4711,U.S. chief justice rejects bid to block 'bump stocks' gun ban
4712,"U.S. lawmakers introduce bill to boost Taiwan ties, amid China tensions"
4713,Athanasiou backhander lifts Red Wings past Predators
4714,Blues blitz Devils for 7th win in row
4715,"Sabres earn hard-fought win, end Islanders' streak"
4716,"Khudobin, Stars deal Panthers first shutout"
4717,"Jackets shut out Caps, inch closer to first place"
4718,Bruins snap Blackhawks' 7-game win streak
4719,NHL roundup: Sharks win sixth straight
4720,Sharks crush Canucks for 6th win in row
4721,"Crosby, Penguins beat Flyers, snap 4-game skid"
4722,Caps cap successful homestand with win over Kings
4723,U.S. sanctions firms accused of helping fund Iran's Revolutionary Guards
4724,"Trump wants to work with Democrats on drug prices, infrastructure: aide"
4725,"Kamala Harris courts unions, minorities with call to raise teacher pay"
4726,"NHL notebook: G Delia, Blackhawks agree to extension"
4727,NHL roundup: Domingue wins 10th straight as Tampa Bay rolls
4728,Georgiev shines in 56-shot barrage as Rangers beat Leafs
4729,Johansson's two goals help Devils defeat Hurricanes
4730,Domingue wins 10th straight start as Lightning beat Panthers
4731,Bruins defeat Avs in OT to continue winning ways
4732,"Blackhawks top Red Wings, take win streak to seven"
4733,Islanders edge Wild on Toews' second-period goal
4734,Jets push past Sabres late to end three-game skid
4735,"Blues' Tarasenko gets hat trick, OT goal defeats Predators"
4736,Obamacare enrollments drop marginally for 2019
4737,U.S. top court rebuffs mystery company in Mueller subpoena fight
4738,U.S. Senator Udall announces retirement from Congress
4739,NHL roundup: Canucks top Flames in shootout
4740,"Atkinson's two goals tie it, win it for Blue Jackets"
4741,"Lightning stop skid, worsen Penguins' with 5-4 win"
4742,Pettersson's shootout goal leads Canucks past Flames
4743,Labanc's hat trick powers red-hot Sharks past Oilers
4744,Hoffman scores in OT as Panthers edge Capitals
4745,Tavares’ goal in OT seals 4-3 victory for Maple Leafs
4746,"Coyotes finally beat Stars, end five-game skid"
4747,"Binnington, Blues top Predators for fifth straight win"
4748,Stone scores twice as Senators handle Jets
4749,Letter from attorney general to Congress on Mueller report
4750,Timeline: Big moments in Mueller investigation of Russian meddling in 2016 U.S. election
4751,"Factbox: Guilty pleas, indictments abound in Trump-Russia probe"
4752,Red-hot Flyers dispatch Ducks
4753,Pulock scores in OT to lift Islanders past Avalanche
4754,Bergeron's OT goal leads Bruins over Kings
4755,Second-period outburst gets Sabres past Red Wings
4756,"Wild top Devils, stop losing streak"
4757,"Wild top Devils, stop losing streak"
4758,Hurricanes' big 3rd period ices Rangers 3-0
4759,NHL roundup: Kings end Flyers' streak in shootout
4760,"Hertl, Kane propel Sharks past Flames"
4761,Marchessault scores twice as Knights edge Wings
4762,Explainer: Mueller says no collusion. Barr says no obstruction. What's next for Trump?
4763,U.S. Senate chair: AG Barr should release as much of Mueller report as possible
4764,"Democrats Pelosi, Schumer say full Mueller report should be made public"
4765,"Habs win third straight, take down Jets"
4766,Bailey's shootout winner leads Isles over Devils
4767,Teravainen leads Hurricanes past Sabres in OT
4768,"Kings take shootout, end Flyers' winning streak"
4769,"Anderson, Jenner lead Jackets over Coyotes"
4770,Blackhawks on a roll as OT goal beats Canucks
4771,Johansen's OT goal pulls Predators past Stars
4772,"Talbot, Oilers beat Wild to end skid"
4773,"Blues, Binnington halt Lightning, earn shutout win in OT"
4774,Sens' Nilsson stops 45 in shutout of Ducks
4775,White House spokeswoman says DOJ findings a 'total exoneration' of Trump
4776,Timeline: Big moments in Mueller investigation of Russian meddling in 2016 U.S. election
4777,Explainer: How much of the Mueller report must U.S. attorney general disclose?
4778,Sens' Nilsson stops 45 in shutout of Ducks
4779,Caps' resurgence continues with OT win over Avs
4780,"Panthers’ Matheson beats clock, Penguins with OT goal"
4781,Rielly breaks tie as Leafs hold off Senators
4782,Rangers edge Bruins in 7-round shootout
4783,NHL roundup: Knights snap franchise-record skid
4784,Pavelski's OT winner leads Sharks over Jets
4785,Third-period barrage leads Kings over Devils
4786,Preds' power play wakes up vs. Arizona
4787,"Habs score 3 in first, crush woeful Ducks"
4788,Summary of Mueller report will not come on Saturday -official
4789,"Mueller submits Trump-Russia report, lawmakers urge quick release"
4790,Letter from U.S. attorney general to lawmakers on Mueller report
4791,Jackets score 3 in 3rd to drop Avs
4792,Hawks ride 5-goal third past Oilers
4793,Tuch's shootout goal gives Vegas win at Tampa Bay
4794,"NHL notebook: Leafs, Matthews ink five-year extension"
4795,Reinhart's shootout goal lifts Sabres past Wild
4796,Capitals squeeze past Canucks
4797,Blues’ 3rd-period burst sinks Panthers
4798,McElhinney shines as Canes blank Penguins
4799,NHL roundup: Flyers win eighth straight
4800,"Stars outscore Coyotes in wild 3rd period, hang on"
4801,Trump's son-in-law Kushner cooperating with U.S. House probe: source
4802,Main Mueller report findings to be made public when Congress receives them: official
4803,Trump taps a strident Powell critic for spot on Fed board
4804,Toffoli scores early in OT as Kings edge Rangers
4805,"Johnsson, Muzzin guide Leafs past Ducks"
4806,Flyers down Canucks for 8th straight win
4807,NHL roundup: Rask helps Bruins solve Capitals
4808,Ex-Hurricanes drive Flames past former team
4809,"Krejci, Rask shine as Bruins blank Capitals"
4810,"Krejci, Rask shine as Bruins blank Capitals"
4811,Drouin's OT goal gives Habs a Super win vs. Oilers
4812,NHL roundup: Lightning hang on to beat Rangers
4813,"Virtanen, Roussel lead Canucks past slumping Avs"
4814,U.S. House judiciary panel told to expect Mueller report at 5 p.m.: reports
4815,Trump: 'I know nothing' about Kushner's WhatsApp messaging
4816,Engineering elections? U.S. top court examines electoral map manipulation
4817,Burns' OT winner lifts Sharks over Coyotes
4818,"Comeau, Janmark score late to lift Stars over Predators"
4819,Streaking Jets blast Ducks
4820,"Stamkos, Lightning edge Rangers"
4821,"Blackhawks stop Wild in OT, extend win streak to 4"
4822,Islanders finish off Kings in wild 3rd period
4823,Maple Leafs rally for 3-2 win over Penguins
4824,"Barkov, Panthers drop skidding Knights"
4825,"Bernier, Red Wings shut out hapless Senators"
4826,"Blues send Blue Jackets to fifth straight loss, 4-2"
4827,U.S. preparing official document on recognizing Israeli sovereignty of Golan Heights: source
4828,Trump offers Fed board post to ex-campaign adviser Moore: Wall Street Journal
4829,Trump says he will nominate former campaign adviser Moore for Fed
4830,Hischier rallies Devils to OT win over Canadiens
4831,Patrick's OT goal lifts Flyers over Oilers
4832,NHL roundup: Lightning squeak by Islanders in shootout
4833,DeKeyser's OT goal carries Wings over Leafs
4834,"Rust, Guentzel power Penguins past Senators"
4835,Lightning squeak by Islanders in shootout
4836,"Caps snap 7-game skid, edge Flames"
4837,Arvidsson powers Predators' rally past Panthers
4838,Seguin’s two third-period goals lift Stars over Wild
4839,Hurricanes pull away in 3rd to top Golden Knights
4840,Trump announces pick for U.S. chief technology officer
4841,U.S. immigration arrests fall under Trump as resources shift to the border
4842,Trump signs executive 'free speech' order for U.S. colleges
4843,Kane's 4-point night leads Blackhawks over Sabres
4844,NHL roundup: Zibanejad's hat trick leads Rangers past Devils
4845,Connor's late goal sends Jets past Jackets
4846,Zibanejad's hat trick lifts Rangers over Devils
4847,Sanheim lifts Flyers past Bruins in OT
4848,Vermette announces retirement after 14 NHL seasons
4849,Infection sidelines Blue Jackets C Jenner for one-three weeks
4850,"Benn, Bishop help Stars edge Sabres"
4851,Penguins score first 4 goals to top Lightning
4852,"Stolarz, Flyers shut out Rangers"
4853,"In early campaigning, 2020 Democrats try out tactics for taking on Trump"
4854,Biden building 2020 White House campaign ahead of expected bid: sources
4855,"Trump, in feud with Kellyanne Conway spouse, calls him 'whack job,' 'husband from hell'"
4856,Jets' Connor scores in shootout to beat Bruins
4857,"Sheary, Sabres slip past Blue Jackets"
4858,Predators F Watson suspended indefinitely
4859,Zajac leads Devils past Penguins in rare road win
4860,Konecny leads Flyers to 3-1 win over Jets
4861,Coyne Schofield first woman in NHL All-Star skills event
4862,McDavid wins Fastest Skater again; Coyne finishes seventh
4863,"NHL, NHLPA holding 'constructive' CBA talks"
4864,NHL roundup: Caps drop seventh straight
4865,Predators' Saros (47 saves) turns away Knights
4866,Judges lean toward Trump in hotel 'emoluments' case
4867,"Pets, livestock among victims of Midwest flooding"
4868,Trump to meet with Caribbean leaders on Friday at his Florida resort
4869,Hurricanes' Nedeljkovic beats Canucks in first start
4870,Surging Wild rout skidding Avalanche
4871,Canadiens' Price maintains mastery of Coyotes
4872,Kadri's hat trick lifts Leafs over Capitals
4873,Returning players push Blues past Ducks
4874,Oilers fire GM Chiarelli
4875,NHL roundup: Sharks extend Caps' slump
4876,Hertl nets hat trick as Sharks top Caps in OT
4877,Hinostroza's three points lift Coyotes past Senators
4878,Flames stay hot by beating Hurricanes in OT
4879,"Alan Krueger, economic adviser to Obama and Clinton, takes own life at 58"
4880,Facebook confirms it briefly limited White House official account
4881,Warren tests 2020 message with black voters in U.S. South
4882,Blackhawks stop Isles' streak with shootout win
4883,Glendening guides Wings past Oilers
4884,NHL roundup: Predators dispatch struggling Avalanche
4885,Panthers push past Sharks with big third period
4886,Wild hand Golden Knights rare home defeat
4887,Slow-starting Kings come back to beat Blues
4888,Predators post win over sinking Avalanche
4889,NHL roundup: Toews notches hat trick as Blackhawks crush Capitals
4890,"Niederreiter, Wallmark score 2 each as Hurricanes top Oilers"
4891,Hinostroza's key goal helps Coyotes top Leafs
4892,House panel expects thousands of documents in Trump probe
4893,Pentagon tells Congress of projects that could be hit to pay for wall
4894,Documents related to raid on ex-Trump lawyer Cohen can be unsealed: judge
4895,Pettersson delivers for Canucks in rally past Red Wings
4896,Islanders' Lehner blanks Ducks
4897,Blackhawks rack up goals while beating Capitals
4898,NHL roundup: Marchessault hat trick powers Knights past Pens
4899,Flames stay hot with 5-2 victory over Edmonton
4900,Marchessault hat trick drives Knights past Penguins
4901,Dubnyk makes two goals stand as Wild edge Jackets
4902,"Trocheck, Ekblad spark Panthers past Preds"
4903,Lightning defeat Sharks 6-3 behind Stamkos’ 2 goals
4904,Blues end homestand with win over Senators
4905,Workers on Sanders' 2020 White House campaign join union
4906,"Mueller, in U.S. court filing, says multiple probes continue"
4907,Pelosi says U.S. House to vote March 26 on overriding Trump border-wall related veto
4908,Blues end homestand with win over Senators
4909,Rangers top Bruins as Lundqvist passes Sawchuk
4910,"Stars cool Jets, end four-game skid"
4911,"Patrick, Hart lead Flyers past Habs"
4912,Avs score six in the second period to crush Kings
4913,"Terry, Ducks top Devils for second straight win"
4914,"NHL roundup: Isles blank Caps 2-0, move into first place in division"
4915,Panthers halt 7-game skid by beating Leafs
4916,Canucks win back-and-forth affair over Sabres
4917,"Kessel, Penguins nip Coyotes in OT"
4918,Trump 'wall' in desolate stretch of New Mexico has some asking: Why here?
4919,Post-Katrina promise of oil money leaves states shortchanged
4920,A little love on the campaign trail - Rosario Dawson dating Cory Booker
4921,Senators use 1-2 punch to halt Hurricanes
4922,"Isles blank Caps 2-0, move into first place"
4923,Tatar tallies twice as hot Habs down Blue Jackets
4924,Trocheck nearing return for Panthers
4925,Lemieux's two goals lead Jets past Predators
4926,Ex-Stars goalie Campbell lifts Kings over former team
4927,Leafs end Lightning's home winning streak
4928,"Ducks shut out Wild, end club-record losing streak"
4929,Bruins pull away from Blues in third period
4930,Empty-net goal lifts Rangers over Blackhawks
4931,House likely to try to override expected Trump veto on March 26
4932,Senate votes to terminate Trump national emergency
4933,Trial for Trump adviser Roger Stone set for November
4934,Empty-net goal lifts Rangers over Blackhawks
4935,Islanders defeat Devils to earn 3rd straight win
4936,NHL notebook: Canucks facing center shortage
4937,Chiasson's shootout goal lifts Oilers over Canucks
4938,"Eichel, Sabres sink Flames in OT"
4939,Coyotes snap Sharks' 7-game win streak
4940,New dad Duchene returns to lead Sens past Avs
4941,Couturier's first hat trick leads Flyers past Bruins
4942,Canadiens' Byron suspended three games
4943,"NHL roundup: Habs, Niemi (52 saves) tame Panthers"
4944,Beto O'Rourke announces U.S. presidential run: CNN
4945,Beto O'Rourke to seek Democratic U.S. presidential nomination: source
4946,U.S. lawmakers emerge from Whitaker meeting with conflicting accounts
4947,Hertl hat trick propels Sharks past Penguins
4948,Connor scores twice as Jets subdue Golden Knights
4949,Arvidsson's hat trick helps Predators top Caps
4950,Zucker scores in shootout to lift Wild past Kings
4951,Lightning continue to roll by shutting out Stars
4952,Niemi makes 52 saves as Canadiens rip Panthers
4953,"Blue Jackets stay hot, hammer Devils"
4954,Filppula lifts Isles past Blues in OT
4955,Rangers continue home dominance over Hurricanes
4956,"Three-goal barrage carries Blues past Caps, Ovi"
4957,"Brazil's Bolsonaro, Trump to meet privately in Oval Office next week"
4958,California governor to put moratorium on death penalty: source
4959,Ex-Trump aide Manafort charged with mortgage fraud in New York
4960,"Three-goal barrage carries Blues past Caps, Ovi"
4961,Flyers top Wild behind van Riemsdyk's hat trick
4962,"Kassian, Lucic help Oilers blow out Sabres"
4963,"After losing lead, Canadiens beat Bruins in OT"
4964,Devils use 5-goal 2nd period to blast Blackhawks
4965,Soderberg's hat trick boosts Avalanche past Maple Leafs
4966,Longtime defenseman Gorges retires
4967,"Anaheim trades left wing Cogliano to Stars, acquires center Shore"
4968,Giordano hits milestone as Flames thrash Coyotes
4969,"Islanders strike quickly, pin first division loss on Lightning"
4970,Trump campaign ex-chairman Manafort apologizes in U.S. federal court
4971,Not so fast: Mueller still investigating pivotal Russia probe issues
4972,"Trump campaign preparing early focus on Pennsylvania, Wisconsin and Michigan"
4973,Hutton sparks late scoring spree as Canucks down Panthers
4974,"Little's OT winner lifts Jets, hands Ducks 11th straight loss"
4975,Maple Leafs sign Moore to two-year extension
4976,Aho has hat trick as Hurricanes top Predators
4977,NHL roundup: Panarin's OT goal lifts Blue Jackets over Caps
4978,"Carter, Kopitar help Kings cool Penguins"
4979,"Burns, Martin lead Sharks past Senators"
4980,"Garland scores twice, leads Coyotes over Oilers"
4981,"Blues lean on Tarasenko, rookie goaltender to best Stars, 3-1"
4982,Theodore delivers game-winner for Knights in OT over Blackhawks
4983,U.S. Senate to vote Wednesday on Saudi Yemen war resolution
4984,Wells Fargo CEO avoids major stumble at heated congressional hearing
4985,Top House Intelligence lawmaker: 2020 election 'enormously vulnerable'
4986,"Canadiens, Price shut out Avalanche"
4987,Kuraly powers Bruins to 3-2 victory over Maple Leafs
4988,Panarin repeats OT feat as Jackets stop Caps
4989,Bertuzzi’s 1st career hat trick carries Wings over Wild
4990,Panarin repeats OT feat as Jackets stop Caps
4991,"Canadiens, Price shut out Avalanche"
4992,Stamkos lifts Lightning past Sabres
4993,"Rangers beat Islanders, snap losing streak"
4994,Devils dispatch skidding Flyers
4995,NHL roundup: Penguins rally past Ducks
4996,U.S. to withdraw all remaining diplomatic personnel from Venezuela
4997,Factbox: Democrats jump into 2020 U.S. presidential race
4998,Labor unions wield increased clout in crowded Democratic 2020 race
4999,Frolik's three points lead Flames to 4th straight win
5000,"Pens score 7, hand Ducks 10th loss in row"
5001,"Jets strike early, dump slumping Red Wings"
5002,Hurricanes get back on track by edging Sabres
5003,"Nash retires from NHL, citing concussion symptoms"
5004,NHL roundup: Flyers end 8-game slide
5005,Senators top Kings for rare winning streak
5006,Sharks score 39 seconds apart to finish off Knights
5007,Panik pushes Coyotes past Canucks in OT
5008,"Panthers can't stop McDavid, fall to Oilers in shootout"
5009,Mueller probe already financed through September: officials
5010,Senators ask U.S. border agency about reported tracking of journalists
5011,U.S. to start making parts for ground-launched cruise missile systems
5012,"Panthers can't stop McDavid, fall to Oilers in shootout"
5013,"Binnington, Blues shut down Canadiens"
5014,Zucker strikes twice as Wild hold off Jets
5015,"Lightning strike in 3rd period, end Hurricanes’ streak"
5016,Ovechkin scores twice as Capitals win at Boston
5017,Tavares scores 300th as Maple Leafs handle Devils
5018,Islanders’ Bailey scores late to beat Rangers
5019,Tortorella hits milestone as Jackets top Predators in OT
5020,"Flyers edge Stars, end eight-game skid"
5021,NHL roundup: Senators snap 8-game skid
5022,Senator Graham says he will lobby Trump to recognize Golan as part of Israel
5023,"Third summit between Trump and North Korea's Kim likely, no date set: U.S. official"
5024,U.S. envoy on North Korea says 'diplomacy still very much alive' with Pyongyang
5025,Senators snap skid with OT win over Ducks
5026,Avalanche can't douse hot Flames
5027,"NHL roundup: Vasilevskiy, Lightning blank Jackets"
5028,Flames flying ahead of meeting with Avalanche
5029,Karlsson keeps clicking as Sharks rout Oilers
5030,Canadiens edge skidding Red Wings
5031,"Knights stay hot, drop struggling Rangers"
5032,Rust's 2-goal night propels Pens past Panthers
5033,"Williams, Slavin score late as Hurricanes edge Isles"
5034,Sabres use 5-goal period to drop Devils
5035,U.S. judge may force Trump administration to reunite more families separated at Mexico border
5036,"Alabama's Roy Moore, undone by allegations, considers new Senate run"
5037,"Trump's top communications aide Shine resigns, moves to re-election campaign"
5038,"Bruins shut out Wild, win 5th straight"
5039,"Vrana, Oshie score twice each as Capitals down Flyers"
5040,Seguin scores twice as Stars win in St. Louis
